Section: 212, Row: 10, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 215, Row: 10, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 226, Row: 10, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 216, Row: 8, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 213, Row: 12, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 232, Row: 12, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 224, Row: 9, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 215, Row: 8, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 213, Row: 9, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 226, Row: 12, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 230, Row: 9, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 231, Row: 8, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 211, Row: 12, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 211, Row: 11, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
