Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 213, Row: 9, Price: $5, Est. Price: $9.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842822694
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 10, Price: $5, Est. Price: $9.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7817004519
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 10, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8463979355
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 14, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988477
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 12, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7816950281
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 229, Row: 7, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7816989121
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 9, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7817004336
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 10, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988467
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 222, Row: 13, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988496
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 11, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7817030044
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 9, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7817016784
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 12, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8612202236
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 7, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7897531561
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 8, Price: $6, Est. Price: $10.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988473
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 8, Price: $7, Est. Price: $12.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831675
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 13, Price: $7, Est. Price: $12.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842822713
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 9, Price: $7, Est. Price: $12.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831646
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 9, Price: $7, Est. Price: $12.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842822698
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 8, Price: $7, Est. Price: $12.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988464
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 10, Price: $7, Est. Price: $12.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8367067438
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 6, Price: $7, Est. Price: $12.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8505449333
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 212, Row: 9, Price: $7, Est. Price: $12.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8367067443
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 14, Price: $7, Est. Price: $12.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988515
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 232, Row: 12, Price: $7, Est. Price: $12.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8590053312
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 11, Price: $8, Est. Price: $14.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831713
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 232, Row: 7, Price: $8, Est. Price: $14.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988523
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 5, Price: $8, Est. Price: $14.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988494
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 8, Price: $8, Est. Price: $14.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988470
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 7, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8410978039
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 213, Row: 6, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8410978030
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 6, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8410978025
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 9, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988463
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 3, Price: $9, Est. Price: $16.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8550737493
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 3, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7817004600
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 11, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244526962
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 10, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244526959
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 225, Row: 7, Price: $10, Est. Price: $18.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988471
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 8, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7830997724
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 7, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988468
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 5, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244527008
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 7, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8406611465
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 4, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244526969
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 4, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244527984
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 7, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988466
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 7, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7897531617
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 9, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8063011421
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 204, Row: 11, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7897531521
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 220, Row: 14, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988618
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 9, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8063011398
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 8, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8063011447
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 13, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7803603825
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 6, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809314255
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 201, Row: 9, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831567
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 217, Row: 14, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7842831627
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 212, Row: 10, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8367067462
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 217, Row: 13, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8449129688
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 6, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809314682
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 12, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8443554697
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 8, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8410977152
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 8, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244527952
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 10, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8454509153
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 3, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8454508708
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 218, Row: 8, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8590041247
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 205, Row: 8, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988505
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 6, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7809313596
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 14, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8582479224
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 14, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8582483568
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 213, Row: 13, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8582483562
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 7, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7803598725
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 225, Row: 14, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7801818844
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 14, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7801818873
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 229, Row: 14, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7932215211
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 218, Row: 12, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7807548271
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 225, Row: 8, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244526991
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 4, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7937360029
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 202, Row: 14, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8449129562
