Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 7, Price: $14, Est. Price: $14, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 213, Row: 9, Price: $13, Est. Price: $13, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 229, Row: 7, Price: $14, Est. Price: $14, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 9, Price: $14, Est. Price: $14, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 232, Row: 7, Price: $16, Est. Price: $16, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 6, Price: $15, Est. Price: $15, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 12, Price: $13, Est. Price: $13, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 213, Row: 6, Price: $16, Est. Price: $16, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 222, Row: 13, Price: $14, Est. Price: $14, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 8, Price: $15, Est. Price: $15, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 232, Row: 12, Price: $15, Est. Price: $15, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 5, Price: $17, Est. Price: $17, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 9, Price: $15, Est. Price: $15, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 9, Price: $15, Est. Price: $15, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 10, Price: $16, Est. Price: $16, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 8, Price: $15, Est. Price: $15, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 12, Price: $15, Est. Price: $15, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 10, Price: $13, Est. Price: $13, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 14, Price: $13, Est. Price: $13, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
