Section: 215, Row: 10, Price: $19.00, Est. Price: $26.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11394747957&groupId=&qty=2
Section: 212, Row: 10, Price: $19.00, Est. Price: $26.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11332743184&groupId=&qty=2
Section: 213, Row: 12, Price: $20.00, Est. Price: $28.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183465766&groupId=&qty=2
Section: 215, Row: 11, Price: $20.00, Est. Price: $28.00, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11323142948&groupId=&qty=2
Section: 211, Row: 12, Price: $21.00, Est. Price: $29.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183465731&groupId=&qty=2
Section: 226, Row: 12, Price: $21.00, Est. Price: $29.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11359569249&groupId=&qty=2
Section: 230, Row: 14, Price: $21.00, Est. Price: $29.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11253228584&groupId=&qty=2
Section: 227, Row: 10, Price: $21.00, Est. Price: $29.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183466262&groupId=&qty=2
Section: 226, Row: 9, Price: $21.00, Est. Price: $29.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11218541110&groupId=&qty=2
Section: 232, Row: 7, Price: $21.00, Est. Price: $29.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11323142879&groupId=&qty=2
Section: 216, Row: 8, Price: $21.00, Est. Price: $29.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11382416076&groupId=&qty=2
Section: 228, Row: 10, Price: $21.00, Est. Price: $29.40, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10371007417&groupId=&qty=2
