Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 15, Price: $9.00, Est. Price: $12.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10585788696&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 14, Price: $9.00, Est. Price: $12.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10403486907&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 11, Price: $9.00, Est. Price: $12.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10403479038&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 225, Row: 13, Price: $9.00, Est. Price: $12.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10563898273&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 14, Price: $10.00, Est. Price: $14.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005560&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 14, Price: $10.00, Est. Price: $14.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005582&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 11, Price: $10.00, Est. Price: $14.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10452533904&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 213, Row: 9, Price: $10.00, Est. Price: $14.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10452533909&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 10, Price: $10.00, Est. Price: $14.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10403478902&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 10, Price: $10.00, Est. Price: $14.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005578&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 222, Row: 13, Price: $10.00, Est. Price: $14.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005590&groupId=&qty=2
