Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 113, Row: 16, Price: $182.00, Est. Price: $182.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/67be3a6b2f94efc810e796a8?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 18, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/67bed9b22f94efc810e915e9?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 313, Row: 19, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/6799389226a9cb75c511d3cb?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 319, Row: 20, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/67bed9ac2f94efc810e89ff3?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 143, Row: 27, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/67c333fcdec8018c7633bccb?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 114, Row: 37, Price: $167.00, Est. Price: $167.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/679e188df6af5e52e4ee20c9?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 304, Row: 19, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/6799389526a9cb75c5122be6?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 305, Row: 16, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/67b3d1222f94efc8105eebaa?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 302, Row: 17, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/679ae2e926a9cb75c5f5f381?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 303, Row: 17, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/679bd2e4f6af5e52e4f25feb?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 300, Row: 16, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-opening-day-tickets/3-27-2025-phoenix-az-chase-field/events/66a15ebd81e1bdde81adde3e/listings/679ae2f326a9cb75c5f76d5a?queryId=81115b61090389614900ab585115826b&resultPosition=1&searchIndex=performers
