Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 129, Row: 33, Price: $142.00, Est. Price: $142.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c029dec8018c76d97b71?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 3, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c02cdec8018c76d9ad5d?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 319, Row: 12, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c331d7dec8018c76074e59?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 315, Row: 18, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c23945dec8018c76cfe4be?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 143, Row: 22, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c38226dec8018c76d467bd?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 219, Row: 9, Price: $106.00, Est. Price: $106.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c037dec8018c76da632d?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 3, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c02edec8018c76d9cb9e?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 330, Row: 6, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c34339dec8018c769cb831?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 302, Row: 6, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c39a85dec8018c7613e616?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 329, Row: 19, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c38e61dec8018c7601077f?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 328, Row: 9, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1de54dec8018c76a2277e?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 303, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c3432cdec8018c769b5f4d?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 304, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c4d3e0dec8018c76b53cc1?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 308, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c30b8cdec8018c764ec354?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 325, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c03edec8018c76daecc7?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
