Date: 09-01-2025, Home Team: Dbacks, Away Team: Rangers, Section: 116, Row: 23, Price: $96.00, Est. Price: $96.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-1-2025-phoenix-az-chase-field/events/66a1721966e0626c8de367e0/listings/67ad3e733e2207e70bb78664
Date: 09-01-2025, Home Team: Dbacks, Away Team: Rangers, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-1-2025-phoenix-az-chase-field/events/66a1721966e0626c8de367e0/listings/6764fda2b98988f2dbce345c
Date: 09-01-2025, Home Team: Dbacks, Away Team: Rangers, Section: 143, Row: 31, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-1-2025-phoenix-az-chase-field/events/66a1721966e0626c8de367e0/listings/6764fda2b98988f2dbce3489
Date: 09-01-2025, Home Team: Dbacks, Away Team: Rangers, Section: 102, Row: 39, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-1-2025-phoenix-az-chase-field/events/66a1721966e0626c8de367e0/listings/6764fda2b98988f2dbce343a
Date: 09-01-2025, Home Team: Dbacks, Away Team: Rangers, Section: 315, Row: 8, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-1-2025-phoenix-az-chase-field/events/66a1721966e0626c8de367e0/listings/67d4b141dec8018c76e54f38
Date: 09-01-2025, Home Team: Dbacks, Away Team: Rangers, Section: 110, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-1-2025-phoenix-az-chase-field/events/66a1721966e0626c8de367e0/listings/67d37513dec8018c76eff238
Date: 09-01-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-1-2025-phoenix-az-chase-field/events/66a1721966e0626c8de367e0/listings/6764fda4b98988f2dbce6632
Date: 09-01-2025, Home Team: Dbacks, Away Team: Rangers, Section: 307, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-1-2025-phoenix-az-chase-field/events/66a1721966e0626c8de367e0/listings/67bc81ec2f94efc810cbf88c
Date: 09-01-2025, Home Team: Dbacks, Away Team: Rangers, Section: 304, Row: 40, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-1-2025-phoenix-az-chase-field/events/66a1721966e0626c8de367e0/listings/6764fda4b98988f2dbce87f4
Date: 09-01-2025, Home Team: Dbacks, Away Team: Rangers, Section: 329, Row: 40, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-1-2025-phoenix-az-chase-field/events/66a1721966e0626c8de367e0/listings/67adffe23e2207e70b0ccf43
Date: 09-01-2025, Home Team: Dbacks, Away Team: Rangers, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-1-2025-phoenix-az-chase-field/events/66a1721966e0626c8de367e0/listings/6764fda4b98988f2dbce65f2
