Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 128, Row: 25, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670ea0d9f0923f9bcd99f3ae
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 331, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896de95f5eedb9b5437010
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 312, Row: 10, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896df95f5eedb9b544fbf2
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 141, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670989a9f0923f9bcde614df
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 108, Row: 30, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670ea0d9f0923f9bcd99f2e8
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 132, Row: 5, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67098e1df0923f9bcd62ba9b
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 302, Row: 2, Price: $28.00, Est. Price: $28.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670ea0dcf0923f9bcd9a3c29
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 303, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896de75f5eedb9b5434c51
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 330, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896df15f5eedb9b54438e7
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 301, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896def5f5eedb9b5441504
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/6764fda4b98988f2dbce662e
