Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 128, Row: 25, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/670ea0ddf0923f9bcd9a669a
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 330, Row: 2, Price: $29.00, Est. Price: $29.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/673d12b3585e58e5aa87bac8
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 312, Row: 10, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/67896dea5f5eedb9b543a143
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 141, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/670989a9f0923f9bcde614e8
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 320, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/67896de95f5eedb9b5437085
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 110, Row: 11, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/67d37516dec8018c76f07104
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 142, Row: 13, Price: $26.00, Est. Price: $26.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/678683f15f5eedb9b59e2d61
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 331, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/67896df55f5eedb9b544947e
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 302, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/67896de75f5eedb9b5434c1b
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 301, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/67896de85f5eedb9b5435d2a
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 303, Row: 1, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/670ea0e5f0923f9bcd9adb28
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/6764fda4b98988f2dbce87e2
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/6764fda3b98988f2dbce4cce
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 311, Row: 11, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/670ea0e2f0923f9bcd9ab760
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 307, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/67bc81ec2f94efc810cbf7e1
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 319, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/670ea0e9f0923f9bcd9b0df2
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 321, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/670ea0dcf0923f9bcd9a3c9b
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 316, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/67896ded5f5eedb9b543cdbd
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 140, Row: 13, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/67d48fbbdec8018c76855763
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/6764fda4b98988f2dbce6644
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 329, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/6764fda1b98988f2dbce18fa
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 108, Row: 30, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-3-2025-phoenix-az-chase-field/events/66a1721bd8d60cfab6f1b776/listings/670ea0ddf0923f9bcd9a6694
