Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 129, Row: 27, Price: $131.00, Est. Price: $131.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67cf7e29dec8018c76c2baa3
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 101, Row: 22, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67d48fbadec8018c76851e97
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 301, Row: 3, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67cde45bdec8018c7676f5e8
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 324, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67cde460dec8018c76776ae2
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 141, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67b501fa2f94efc81099c45c
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 219, Row: 5, Price: $95.00, Est. Price: $95.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67cde4e0dec8018c76863b26
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 315, Row: 8, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67d4b141dec8018c76e54f94
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 329, Row: 8, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67d9f480dec8018c76a1d14f
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 328, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67cde45cdec8018c76771a33
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 303, Row: 8, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67d669f6dec8018c7608a77b
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 304, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67d4fe90dec8018c766e9137
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 331, Row: 3, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67cde458dec8018c7676c60c
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 302, Row: 6, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67d20c1fdec8018c76d24d6b
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 329, Row: 22, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67a27ecef6af5e52e4d5b984
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 303, Row: 2, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67896e7f5f5eedb9b5539777
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 325, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67cde458dec8018c7676c61e
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 323, Row: 11, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67cde4d4dec8018c7685357e
Date: 09-05-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 305, Row: 8, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-5-2025-phoenix-az-chase-field/events/66a1721d56d58dfc9c0ea5ed/listings/67cde4d3dec8018c76850eab
