Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 128, Row: 32, Price: $142.00, Est. Price: $142.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67cf2ca0dec8018c769260eb
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 306, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67cf7e2edec8018c76c307ac
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 319, Row: 12, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67cf2ca5dec8018c769329ff
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 315, Row: 13, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d581f9dec8018c769eacff
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 143, Row: 22, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67cf2c9edec8018c7692265d
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 219, Row: 11, Price: $106.00, Est. Price: $106.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67cf2c9ddec8018c7691ef82
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 301, Row: 3, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67cf2c99dec8018c76917140
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 302, Row: 6, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67cf2c95dec8018c76913d59
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 329, Row: 8, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67cf2ca1dec8018c769293ba
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 328, Row: 9, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67d0ca3adec8018c764ab762
Date: 09-06-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 303, Row: 8, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-6-2025-phoenix-az-chase-field/events/66a1721f8f48b5639d2f5e86/listings/67cf2c9ddec8018c7691ef72
