Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 129, Row: 27, Price: $131.00, Est. Price: $131.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03a8fdec8018c761c5d1b
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 101, Row: 22, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d48fbbdec8018c76855838
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 301, Row: 3, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03a9adec8018c761dd6a7
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 314, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03a12dec8018c760ff3a4
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 140, Row: 21, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67c3f5c0dec8018c768134c1
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 219, Row: 11, Price: $95.00, Est. Price: $95.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03a15dec8018c76104b81
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 315, Row: 8, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d4b141dec8018c76e54fbf
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 329, Row: 8, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03a94dec8018c761cf174
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 328, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03a94dec8018c761cf169
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 303, Row: 8, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03a0edec8018c760f5e20
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 304, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03aa4dec8018c761e73ff
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 331, Row: 4, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03a0edec8018c760f5e31
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 302, Row: 6, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03a23dec8018c7611baa0
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 325, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03a0edec8018c760f5d69
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 323, Row: 11, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/red-sox-at-diamondbacks-tickets/9-7-2025-phoenix-az-chase-field/events/66a17221573fc39854bf8eea/listings/67d03a99dec8018c761db9e6
