Date: 09-15-2025, Home Team: Dbacks, Away Team: Giants, Section: 116, Row: 21, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-15-2025-phoenix-az-chase-field/events/66a1722e5629c84cf24f1e84/listings/677b3572b98988f2db8bc5e2
Date: 09-15-2025, Home Team: Dbacks, Away Team: Giants, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-15-2025-phoenix-az-chase-field/events/66a1722e5629c84cf24f1e84/listings/6764fe1ab98988f2dbd75b3d
Date: 09-15-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 13, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-15-2025-phoenix-az-chase-field/events/66a1722e5629c84cf24f1e84/listings/67a68b7b3e2207e70b211d46
Date: 09-15-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 13, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-15-2025-phoenix-az-chase-field/events/66a1722e5629c84cf24f1e84/listings/678683f15f5eedb9b59e2d3a
Date: 09-15-2025, Home Team: Dbacks, Away Team: Giants, Section: 110, Row: 11, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-15-2025-phoenix-az-chase-field/events/66a1722e5629c84cf24f1e84/listings/67d37513dec8018c76eff1ec
Date: 09-15-2025, Home Team: Dbacks, Away Team: Giants, Section: 132, Row: 5, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-15-2025-phoenix-az-chase-field/events/66a1722e5629c84cf24f1e84/listings/677b3541b98988f2db893c02
Date: 09-15-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-15-2025-phoenix-az-chase-field/events/66a1722e5629c84cf24f1e84/listings/6764fe1ab98988f2dbd75af2
Date: 09-15-2025, Home Team: Dbacks, Away Team: Giants, Section: 304, Row: 15, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-15-2025-phoenix-az-chase-field/events/66a1722e5629c84cf24f1e84/listings/67a68b6d3e2207e70b201cfc
Date: 09-15-2025, Home Team: Dbacks, Away Team: Giants, Section: 303, Row: 2, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-15-2025-phoenix-az-chase-field/events/66a1722e5629c84cf24f1e84/listings/67896fc25f5eedb9b5787643
Date: 09-15-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-15-2025-phoenix-az-chase-field/events/66a1722e5629c84cf24f1e84/listings/67896fc25f5eedb9b5787638
Date: 09-15-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-15-2025-phoenix-az-chase-field/events/66a1722e5629c84cf24f1e84/listings/67896fc15f5eedb9b5784f8c
