Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 128, Row: 25, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0e6f0923f9bcd9aedee
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 302, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896df65f5eedb9b544c24e
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 312, Row: 10, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896de95f5eedb9b5437062
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670989a9f0923f9bcde614fb
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 30, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0d9f0923f9bcd99f2d6
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 132, Row: 5, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67098e1df0923f9bcd62ba95
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 2, Price: $29.00, Est. Price: $29.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896df05f5eedb9b5442e04
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896def5f5eedb9b543f889
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896df15f5eedb9b544390a
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 303, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896df55f5eedb9b54494c2
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/6764fe19b98988f2dbd74fb6
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/6764fe1ab98988f2dbd75ba5
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 11, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0dcf0923f9bcd9a3cb4
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 316, Row: 9, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896dea5f5eedb9b543a131
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 307, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67bc81ec2f94efc810cbf9dc
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 315, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896df55f5eedb9b54494fc
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 13, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d48fb7dec8018c7684b5f5
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 319, Row: 9, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0e6f0923f9bcd9aed79
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 321, Row: 9, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0e1f0923f9bcd9aa9ff
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/6764fe1ab98988f2dbd75bb6
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 329, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/6764fe19b98988f2dbd742f4
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 13, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/678683f15f5eedb9b59e2dad
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 139, Row: 17, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0e1f0923f9bcd9aa965
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 102, Row: 19, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0d7f0923f9bcd99bc26
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 103, Row: 17, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896dee5f5eedb9b543efdb
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 320, Row: 9, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896df55f5eedb9b544a270
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 313, Row: 8, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896ded5f5eedb9b543cda2
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 324, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896dea5f5eedb9b543a156
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 137, Row: 29, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0daf0923f9bcd9a0e18
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 310, Row: 3, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0e9f0923f9bcd9b0e0f
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 101, Row: 22, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d48fbcdec8018c76855e1b
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 306, Row: 2, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0d7f0923f9bcd99bc30
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 329, Row: 8, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d95809dec8018c761dc052
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 328, Row: 9, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d957f7dec8018c761cca96
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 303, Row: 8, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d957f3dec8018c761c93ee
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 304, Row: 9, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d95803dec8018c761d7af5
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 107, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896de85f5eedb9b5435d23
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 103, Row: 14, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67099139f0923f9bcdc4f62b
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 104, Row: 14, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67099139f0923f9bcdc4f60f
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 2, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896de75f5eedb9b5434c28
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 308, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0d9f0923f9bcd99f344
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 325, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0e7f0923f9bcd9af789
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 305, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0e6f0923f9bcd9aedb9
