Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 128, Row: 25, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/670ea0daf0923f9bcd9a0e26
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 2, Price: $29.00, Est. Price: $29.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/673d134e585e58e5aa96502d
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 312, Row: 10, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/67896deb5f5eedb9b543bc17
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/670989a9f0923f9bcde61505
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 320, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/67896def5f5eedb9b543f817
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 110, Row: 11, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/67d37514dec8018c76f0344d
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 13, Price: $26.00, Est. Price: $26.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/678683f15f5eedb9b59e2e2e
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 303, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/67896def5f5eedb9b543f885
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 302, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/670ea0d8f0923f9bcd99de30
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 1, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/67896de75f5eedb9b5434c36
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/67896df05f5eedb9b5442e3e
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/6764fe19b98988f2dbd74f69
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 332, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/6764fe1ab98988f2dbd75b4e
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 11, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/670ea0e7f0923f9bcd9af78f
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 307, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/67bc81ec2f94efc810cbf6d9
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 319, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/670ea0dcf0923f9bcd9a3c44
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 321, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/670ea0dbf0923f9bcd9a2dbc
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 316, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/67896df55f5eedb9b5449482
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 13, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/67d48fbadec8018c76851730
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/6764fe18b98988f2dbd734ca
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 329, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/6764fe18b98988f2dbd734a4
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 30, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/670ea0e2f0923f9bcd9ab751
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 102, Row: 19, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-17-2025-phoenix-az-chase-field/events/66a17231573fc39854bf8eef/listings/670ea0d9f0923f9bcd99f3b3
