Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 127, Row: 21, Price: $106.00, Est. Price: $106.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67b4f12d2f94efc810cecdf6
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 101, Row: 22, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d48fb8dec8018c7684e3f4
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 141, Row: 13, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67b4ef132f94efc8108d3aca
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 301, Row: 2, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67896e4e5f5eedb9b54db088
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 315, Row: 8, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d4b141dec8018c76e55250
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 219, Row: 5, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95b7bdec8018c7660b224
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 307, Row: 2, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67bc81ec2f94efc810cbf95a
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 329, Row: 18, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67a28526f6af5e52e4723469
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 304, Row: 18, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67a2851cf6af5e52e4714dbb
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 309, Row: 17, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67a28518f6af5e52e470f2df
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 105, Row: 18, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d48fbcdec8018c76855978
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 331, Row: 3, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95bffdec8018c7673415a
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 307, Row: 16, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67a28528f6af5e52e4725487
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 330, Row: 4, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95c02dec8018c7673bed7
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 302, Row: 5, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95b85dec8018c76621750
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 329, Row: 8, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95b87dec8018c7662566d
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 328, Row: 9, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-19-2025-phoenix-az-chase-field/events/66a1723356d58dfc9c0ea5f2/listings/67d95c0fdec8018c7675941a
