Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 116, Row: 21, Price: $123.00, Est. Price: $123.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67b503b42f94efc810cca361
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 101, Row: 22, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d48fbcdec8018c76855cfa
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 307, Row: 2, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67bc81ec2f94efc810cbf873
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 141, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67b501fa2f94efc81099c45a
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 110, Row: 11, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d37514dec8018c76f0340c
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 132, Row: 5, Price: $98.00, Est. Price: $98.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67b503522f94efc810c205b0
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 315, Row: 8, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d4b141dec8018c76e55081
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 303, Row: 20, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b603e2207e70b1ea1d7
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 302, Row: 2, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67896e765f5eedb9b5523b8d
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 304, Row: 20, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b733e2207e70b209bcd
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 331, Row: 20, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b6f3e2207e70b204b17
