Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 116, Row: 21, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/677b3572b98988f2db8bc5da
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 309, Row: 14, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c383e2207e70b36ac85
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 140, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d48fbadec8018c76851cdc
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 314, Row: 16, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c3f3e2207e70b37dd5a
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 101, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d48fbfdec8018c7685dde8
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 111, Row: 10, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/677b335cb98988f2db64d757
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 301, Row: 2, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/670ea15cf0923f9bcda4c06d
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 304, Row: 14, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c303e2207e70b35a993
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 303, Row: 13, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c323e2207e70b35eeb4
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 330, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67896e415f5eedb9b54c72bf
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 303, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67896e545f5eedb9b54e46ee
