Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 128, Row: 32, Price: $112.00, Est. Price: $112.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d957fbdec8018c761d0fe0
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 105, Row: 18, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d48fc1dec8018c76863ded
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 8, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d4b141dec8018c76e54f6f
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 3, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d957fedec8018c761d317b
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 13, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d48fbddec8018c76859d8c
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 219, Row: 5, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d9580bdec8018c761dd33c
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 101, Row: 22, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d48fb8dec8018c7684e529
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 20, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67a68cce3e2207e70b4924bb
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 6, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d957f8dec8018c761ce060
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 8, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d95801dec8018c761d5e37
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 328, Row: 9, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d95801dec8018c761d5f70
