Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 129, Row: 30, Price: $123.00, Est. Price: $123.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67d20eeedec8018c7628c90f
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 2, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/670ea1a5f0923f9bcdab4fdb
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 105, Row: 18, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67d48fc0dec8018c7686295b
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 8, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67d4b141dec8018c76e550ab
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 13, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67d48fb8dec8018c7684e542
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 220, Row: 10, Price: $93.00, Est. Price: $93.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67d20edadec8018c76258394
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 101, Row: 22, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67d48fbadec8018c7685191b
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 2, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67896e705f5eedb9b5518111
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 2, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67896e815f5eedb9b553f5ff
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 21, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d5e3e2207e70b541e17
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 2, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67896e705f5eedb9b55180b9
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 21, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d673e2207e70b546b3c
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 20, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d573e2207e70b538979
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 20, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d5b3e2207e70b53e094
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 19, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d633e2207e70b54472b
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 312, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67896e515f5eedb9b54e0627
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 311, Row: 21, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d593e2207e70b53afec
