Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 129, Row: 28, Price: $118.00, Est. Price: $118.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67db17b7dec8018c7635ea1f
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 105, Row: 18, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d48fb7dec8018c7684ba7f
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 8, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d4b141dec8018c76e54f10
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 21, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68e093e2207e70b6072c3
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 13, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d48fb7dec8018c7684b98e
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 220, Row: 2, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958fedec8018c7632a97b
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 101, Row: 22, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d48fbbdec8018c76855796
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 304, Row: 22, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68dfd3e2207e70b5f5aa0
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 21, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68e023e2207e70b5fcde3
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 3, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958f9dec8018c76326774
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 2, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958f5dec8018c76320472
