Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 313, Row: 15, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8789679190
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 313, Row: 14, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8871676079
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 329, Row: 40, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8843309044
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 330, Row: 33, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8843309009
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 32, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8843309019
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 332, Row: 32, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8843309010
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 328, Row: 13, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862304621
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 4, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862536696
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 309, Row: 13, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862580009
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 144, Row: 14, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8868606324
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 308, Row: 10, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862490378
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 307, Row: 9, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862452407
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 306, Row: 11, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862488442
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 143, Row: 21, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8874644406
