Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 104, Row: 14, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8911440167
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 330, Row: 2, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936276988
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 302, Row: 2, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936279134
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 331, Row: 2, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936279141
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 301, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936329021
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 303, Row: 1, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936276604
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 302, Row: 1, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936276557
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 303, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936278558
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 331, Row: 1, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936278568
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 330, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936434844
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 141, Row: 14, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8607836355
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 311, Row: 11, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936327525
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 312, Row: 10, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936329005
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 141, Row: 13, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8076538814
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 322, Row: 3, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8606124130
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 307, Row: 2, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8827482140
