Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 101, Row: 22, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8960162257
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 315, Row: 8, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8961494584
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 300, Row: 1, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8944188983
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 304, Row: 10, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933366228
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 301, Row: 3, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933366323
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 328, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933366251
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 302, Row: 6, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933358706
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 303, Row: 8, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933358826
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 331, Row: 4, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933364963
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 329, Row: 8, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933366252
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 329, Row: 2, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936933115
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 309, Row: 11, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933364867
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 308, Row: 9, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8945690902
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 307, Row: 8, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933358978
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 323, Row: 11, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933366284
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 306, Row: 10, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8954518048
