Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 2, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936275591
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 303, Row: 2, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936275817
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 302, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936327668
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 1, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936275845
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936275886
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936275920
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 303, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936428533
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 302, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936428509
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936440242
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 14, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8607861778
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 312, Row: 10, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936329134
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 11, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936327617
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 13, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076538982
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 307, Row: 2, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8827482091
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 32, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8655261406
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 332, Row: 32, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8655261430
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 320, Row: 9, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936275767
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 321, Row: 9, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936273527
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 12, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076543809
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 13, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8960212629
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 308, Row: 1, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8944381719
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 316, Row: 9, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936801691
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 319, Row: 9, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8937473004
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 322, Row: 3, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8606124134
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 325, Row: 3, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8606127050
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 313, Row: 8, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936709009
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 315, Row: 9, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936709054
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 102, Row: 18, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936708888
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 102, Row: 19, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936705297
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 30, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936705270
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 138, Row: 25, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8510877736
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 328, Row: 9, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8829665909
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 103, Row: 14, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076682866
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 104, Row: 14, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076683493
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076543418
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 144, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076552172
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 310, Row: 3, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936273581
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 306, Row: 2, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936273516
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 324, Row: 2, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936275789
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 137, Row: 29, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936273633
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 15, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8897571330
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 101, Row: 22, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8960178221
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 321, Row: 2, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936705243
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 307, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936708975
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 325, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936706243
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 305, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936706183
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 139, Row: 17, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936705325
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 107, Row: 29, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936707193
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 304, Row: 8, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8986913908
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 329, Row: 40, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8655261428
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 27, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8607859554
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 2, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8937077220
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 10, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8987030584
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 10, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8986913879
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 327, Row: 8, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8994511384
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 24, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8607859556
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 110, Row: 12, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8794386231
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 11, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076573272
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 14, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936624708
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 136, Row: 26, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936622901
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 107, Row: 26, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936624509
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 136, Row: 24, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8607861779
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 105, Row: 18, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8960206201
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 10, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8076575910
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 2, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8892068463
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 310, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936622631
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 314, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936624479
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 313, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8841056644
Date: 09-17-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 11, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-17-2025/event/154664733/?quantity=2&listingId=8936623124
