Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 138, Row: 25, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8510877737
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 307, Row: 2, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8827482000
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 101, Row: 22, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8960215028
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 141, Row: 13, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8828406990
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 141, Row: 12, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8793492011
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 329, Row: 18, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8937233626
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 304, Row: 18, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8941091983
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 301, Row: 2, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936889612
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 309, Row: 17, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8937086899
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 105, Row: 18, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8960206148
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 329, Row: 16, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8937170679
