Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 101, Row: 22, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8960214741
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 105, Row: 18, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8960201439
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 20, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8937170881
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 304, Row: 9, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986706736
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 3, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986906727
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 328, Row: 9, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986905796
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 303, Row: 8, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986905743
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 3, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8994504297
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 6, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986999890
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 8, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986706745
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 8, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8961494611
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 22, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8937236836
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 138, Row: 25, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8510877757
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 2, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936803101
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 309, Row: 11, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8987000079
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986905813
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 11, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986905823
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 8, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8996562827
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 10, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8994504646
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 10, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8987058676
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 305, Row: 8, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8995092905
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986706828
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986905755
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986905770
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 13, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8793492124
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8930499631
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8840575116
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 311, Row: 11, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8941280347
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 2, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936890215
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 312, Row: 10, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8941269943
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 303, Row: 1, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936931329
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 2, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936931325
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 1, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936931803
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 1, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936931811
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 13, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8960210296
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 10, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8987007335
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 13, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986705991
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986706833
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986905792
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8995617549
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 316, Row: 15, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986706813
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8987046281
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8986999971
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 12, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8793492018
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 314, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8829713986
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 3, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8606127048
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8936802930
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 309, Row: 10, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8829713306
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8829837824
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 322, Row: 3, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8606124127
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 104, Row: 14, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8911763915
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 2, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8924066485
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 300, Row: 2, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8924066355
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8932222254
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 1, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8944494380
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 3, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8606127062
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 103, Row: 20, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-23-2025/event/154664861/?quantity=2&listingId=8994504648
