Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 221, Row: 12, Price: $74, Est. Price: $107.30, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664882395
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 216, Row: 13, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8746631656
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 207, Row: 14, Price: $76, Est. Price: $110.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8772119839
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 215, Row: 13, Price: $78, Est. Price: $113.10, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8772119845
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 216, Row: 10, Price: $78, Est. Price: $113.10, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664149248
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 221, Row: 11, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664882426
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 207, Row: 9, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664149238
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 207, Row: 10, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8671170316
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 206, Row: 10, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8665463347
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 215, Row: 10, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8669606492
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 209, Row: 8, Price: $82, Est. Price: $118.90, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8728434221
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 214, Row: 14, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8667138522
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 208, Row: 13, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8674397325
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 215, Row: 9, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8664148793
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 206, Row: 10, Price: $83, Est. Price: $120.35, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8674397313
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 208, Row: 9, Price: $84, Est. Price: $121.80, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8671170312
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 208, Row: 11, Price: $84, Est. Price: $121.80, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8666639980
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 214, Row: 13, Price: $84, Est. Price: $121.80, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8679665242
