Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 104, Row: 25, Price: $198.00, Est. Price: $198.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c1f34?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 423, Row: 5, Price: $128.00, Est. Price: $128.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c342f94efc8100c3d9c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 444, Row: 8, Price: $159.00, Est. Price: $159.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67acc19a3e2207e70b82ef86?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 113, Row: 34, Price: $192.00, Est. Price: $192.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c1fdc?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 125, Row: 7, Price: $243.00, Est. Price: $243.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c342f94efc8100c3d98?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 445, Row: E, Price: $244.00, Est. Price: $244.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c1f8b?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 434, Row: 5, Price: $120.00, Est. Price: $120.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c1f56?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 403, Row: 6, Price: $125.00, Est. Price: $125.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c342f94efc8100c3e2c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 433, Row: 5, Price: $131.00, Est. Price: $131.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c342f94efc8100c3e14?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 422, Row: 5, Price: $135.00, Est. Price: $135.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c1ef3?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd1, Home Team: Cardinals, Away Team: Falcons, Section: 452, Row: 7, Price: $135.00, Est. Price: $135.00, URL: https://gametime.co/nfl-football/falcons-at-cardinals-tickets/3-4-2026-glendale-az-state-farm-stadium/events/677c937c69ea405082a339ec/listings/67c00c332f94efc8100c1ff9?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
