Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 104, Row: 25, Price: $301.00, Est. Price: $301.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b862f94efc810fdac83?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 434, Row: 5, Price: $173.00, Est. Price: $173.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b852f94efc810fd8659?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 441, Row: 7, Price: $199.00, Est. Price: $199.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c9e915dec8018c76667670?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 113, Row: 34, Price: $290.00, Est. Price: $290.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b862f94efc810fdabf4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 120, Row: 18, Price: $346.00, Est. Price: $346.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00bb82f94efc81001ad06?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 125, Row: 7, Price: $376.00, Est. Price: $376.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b862f94efc810fdac39?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 420, Row: 8, Price: $164.00, Est. Price: $164.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67a372f6f6af5e52e4fcd995?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 403, Row: 6, Price: $178.00, Est. Price: $178.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b862f94efc810fdacab?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 423, Row: 5, Price: $184.00, Est. Price: $184.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b852f94efc810fd86f2?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 433, Row: 5, Price: $187.00, Est. Price: $187.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b852f94efc810fd8699?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 422, Row: 5, Price: $192.00, Est. Price: $192.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b862f94efc810fdac59?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 452, Row: 7, Price: $194.00, Est. Price: $194.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b852f94efc810fd86ba?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 435, Row: 3, Price: $198.00, Est. Price: $198.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b852f94efc810fd86c0?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 436, Row: 7, Price: $204.00, Est. Price: $204.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67a372f8f6af5e52e4fcf33e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 444, Row: 8, Price: $206.00, Est. Price: $206.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67acc1af3e2207e70b861220?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 421, Row: 4, Price: $214.00, Est. Price: $214.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67a372f8f6af5e52e4fcf345?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 410, Row: 3, Price: $268.00, Est. Price: $268.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67bf66432f94efc810f13af7?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 412, Row: 11, Price: $269.00, Est. Price: $269.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b862f94efc810fdac50?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 413, Row: 8, Price: $309.00, Est. Price: $309.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67a372fbf6af5e52e4fd245c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 125, Row: 14, Price: $319.00, Est. Price: $319.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/67c00b862f94efc810fdac60?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 452, Row: 19, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/678470e35f5eedb9b58470f9?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd3, Home Team: Cardinals, Away Team: 49ers, Section: 422, Row: 19, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/49-ers-at-cardinals-tickets/3-2-2026-glendale-az-state-farm-stadium/events/677c937dc13c59c8f11a19bf/listings/678470e45f5eedb9b58487a6?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
