Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 104, Row: 25, Price: $231.00, Est. Price: $231.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8ca4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 403, Row: 6, Price: $144.00, Est. Price: $144.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aad38?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 441, Row: 7, Price: $164.00, Est. Price: $164.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c9e9c6dec8018c767c5ed2?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 113, Row: 34, Price: $224.00, Est. Price: $224.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aad5d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 445, Row: E, Price: $272.00, Est. Price: $272.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8d1a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 125, Row: 7, Price: $284.00, Est. Price: $284.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8caa?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 434, Row: 5, Price: $138.00, Est. Price: $138.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8dcb?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 423, Row: 5, Price: $148.00, Est. Price: $148.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8c9e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 433, Row: 5, Price: $151.00, Est. Price: $151.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8caf?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 436, Row: 4, Price: $153.00, Est. Price: $153.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/678472b55f5eedb9b5a15019?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 422, Row: 5, Price: $153.00, Est. Price: $153.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8cb5?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 452, Row: 7, Price: $155.00, Est. Price: $155.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aad56?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 435, Row: 3, Price: $157.00, Est. Price: $157.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aad63?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 420, Row: 8, Price: $164.00, Est. Price: $164.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67a372e4f6af5e52e4fb3145?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 444, Row: 8, Price: $177.00, Est. Price: $177.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67acc2663e2207e70b9c4b61?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 412, Row: 11, Price: $209.00, Est. Price: $209.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8cd7?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 421, Row: 4, Price: $214.00, Est. Price: $214.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67a372e7f6af5e52e4fb671c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 410, Row: 3, Price: $225.00, Est. Price: $225.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67bf65dc2f94efc810e824c5?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 449, Row: A, Price: $260.00, Est. Price: $260.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c9e9a7dec8018c76787e6a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
