Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 125, Row: 39, Price: $235.00, Est. Price: $235.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/6789cf2c5f5eedb9b5f0f897?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 434, Row: 5, Price: $156.00, Est. Price: $156.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b782f94efc810fbdff3?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 441, Row: 7, Price: $162.00, Est. Price: $162.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c9e5dadec8018c760ea77d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 104, Row: 25, Price: $271.00, Est. Price: $271.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc7f7?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 123, Row: 26, Price: $294.00, Est. Price: $294.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67acc1ab3e2207e70b853ca2?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 127, Row: 25, Price: $367.00, Est. Price: $367.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67bf62b82f94efc810856644?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 436, Row: 4, Price: $134.00, Est. Price: $134.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/6789cf285f5eedb9b5f0954c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 403, Row: 6, Price: $161.00, Est. Price: $161.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b782f94efc810fbdf95?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 423, Row: 5, Price: $166.00, Est. Price: $166.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b782f94efc810fbe009?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 420, Row: 8, Price: $166.00, Est. Price: $166.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67a3731af6af5e52e4021d91?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 433, Row: 5, Price: $169.00, Est. Price: $169.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b782f94efc810fbe01e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 422, Row: 5, Price: $173.00, Est. Price: $173.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc825?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 452, Row: 7, Price: $175.00, Est. Price: $175.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b782f94efc810fbdfd0?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
