Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 104, Row: 25, Price: $198.00, Est. Price: $198.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c752f94efc81011ac26?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 441, Row: 7, Price: $124.00, Est. Price: $124.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cbb2f94efc810175d11?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 403, Row: 6, Price: $125.00, Est. Price: $125.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c752f94efc81011ac01?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 125, Row: 36, Price: $192.00, Est. Price: $192.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67b51c812f94efc81091bdc8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 445, Row: E, Price: $244.00, Est. Price: $244.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c752f94efc81011ab9d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 111, Row: 32, Price: $285.00, Est. Price: $285.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67bf662d2f94efc810ee1751?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 434, Row: 5, Price: $120.00, Est. Price: $120.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc81011a0c6?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 423, Row: 5, Price: $128.00, Est. Price: $128.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc810119f91?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 433, Row: 5, Price: $131.00, Est. Price: $131.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc810119f8d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 422, Row: 5, Price: $135.00, Est. Price: $135.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc810119fa4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 452, Row: 7, Price: $135.00, Est. Price: $135.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c752f94efc81011abaa?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
