Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 106, Row: 14, Price: $509.00, Est. Price: $509.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126f6c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 403, Row: 6, Price: $222.00, Est. Price: $222.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126f17?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 414, Row: 5, Price: $265.00, Est. Price: $265.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00ccb2f94efc81018555a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 104, Row: 25, Price: $397.00, Est. Price: $397.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c842f94efc810127866?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 115, Row: 15, Price: $406.00, Est. Price: $406.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3dddec8018c76dcfc51?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 113, Row: 30, Price: $409.00, Est. Price: $409.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3dbdec8018c76dcc654?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 434, Row: 5, Price: $213.00, Est. Price: $213.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c842f94efc810127890?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 436, Row: 7, Price: $226.00, Est. Price: $226.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67a373b4f6af5e52e40b257d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 423, Row: 5, Price: $227.00, Est. Price: $227.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c842f94efc81012782c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 433, Row: 5, Price: $232.00, Est. Price: $232.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126f1d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 422, Row: 5, Price: $234.00, Est. Price: $234.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126e4e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 452, Row: 7, Price: $237.00, Est. Price: $237.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126f66?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 421, Row: 4, Price: $240.00, Est. Price: $240.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67a373b2f6af5e52e40b0d92?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 441, Row: 7, Price: $277.00, Est. Price: $277.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3c1dec8018c76d916e9?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 444, Row: 8, Price: $292.00, Est. Price: $292.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67acc1423e2207e70b7c667b?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 413, Row: 7, Price: $294.00, Est. Price: $294.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00cd72f94efc8101902a1?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 412, Row: 11, Price: $308.00, Est. Price: $308.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c00c832f94efc810126e98?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 443, Row: 5, Price: $372.00, Est. Price: $372.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67a373b5f6af5e52e40b4684?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 102, Row: 22, Price: $398.00, Est. Price: $398.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3dddec8018c76dcfc6d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 102, Row: 28, Price: $402.00, Est. Price: $402.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3dfdec8018c76dd2717?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 115, Row: 20, Price: $402.00, Est. Price: $402.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3d9dec8018c76dc854c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 103, Row: 27, Price: $407.00, Est. Price: $407.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3b5dec8018c76d80e90?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 103, Row: 32, Price: $409.00, Est. Price: $409.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3c8dec8018c76d9cf81?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 452, Row: 19, Price: $410.00, Est. Price: $410.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/6789ce3a5f5eedb9b5d81e0e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 422, Row: 19, Price: $410.00, Est. Price: $410.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/6789ce3b5f5eedb9b5d83d34?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd8, Home Team: Cardinals, Away Team: Packers, Section: 103, Row: 19, Price: $411.00, Est. Price: $411.00, URL: https://gametime.co/nfl-football/packers-at-cardinals-tickets/3-8-2026-glendale-az-state-farm-stadium/events/677c937b707c8136ad2133e8/listings/67c9e3b5dec8018c76d80e99?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
