Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 116, Row: 23, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67dd87b8d4811782d3298b66
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 302, Row: 2, Price: $28.00, Est. Price: $28.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0d7f0923f9bcd99bc82
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 110, Row: 11, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67d37514dec8018c76f03468
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 140, Row: 16, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/676da7fdb98988f2dbadcb0a
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 315, Row: 9, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/678969645f5eedb9b5cf1564
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 319, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0e3f0923f9bcd9ac6d2
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 301, Row: 2, Price: $27.00, Est. Price: $27.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/678969a05f5eedb9b5d2a2dc
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 331, Row: 2, Price: $29.00, Est. Price: $29.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/673d0c2b585e58e5aa0d3f81
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 330, Row: 2, Price: $29.00, Est. Price: $29.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/678969ab5f5eedb9b5d3ca1f
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 303, Row: 2, Price: $29.00, Est. Price: $29.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/678969b35f5eedb9b5d4201a
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 141, Row: 13, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6704d7e81a2fe259046b9a47
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 312, Row: 10, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/678969585f5eedb9b5ce4b46
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 321, Row: 9, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0e6f0923f9bcd9aed97
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 320, Row: 9, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6789695d5f5eedb9b5ce909f
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 316, Row: 9, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/678969a45f5eedb9b5d2f8d7
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 313, Row: 8, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/678969605f5eedb9b5ced1bb
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 101, Row: 22, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67d48fc0dec8018c76862a17
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 306, Row: 2, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0dbf0923f9bcd9a2d9f
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 139, Row: 17, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0e1f0923f9bcd9aa9ea
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 108, Row: 30, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0e3f0923f9bcd9ac748
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 305, Row: 1, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0e4f0923f9bcd9ace1c
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 310, Row: 3, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0e6f0923f9bcd9aed4e
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 324, Row: 2, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/678969645f5eedb9b5cf156c
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 103, Row: 17, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67896a505f5eedb9b5e5f204
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 102, Row: 18, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67896a585f5eedb9b5e6b902
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 104, Row: 14, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6704d75c1a2fe25904616834
