Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 126, Row: 22, Price: $98.00, Est. Price: $98.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67d0bae9dec8018c76d782e3
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 330, Row: 2, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67896cd75f5eedb9b52485be
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 314, Row: 9, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67ed907fd4811782d326aa93
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 319, Row: 12, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e32023d4811782d3303fc3
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 139, Row: 30, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67a68fc13e2207e70b8e171d
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 111, Row: 6, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67b4de582f94efc810bf9065
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 303, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67a68fbe3e2207e70b8dba64
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 328, Row: 14, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67be44d92f94efc810e4e6a7
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 303, Row: 2, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67896cce5f5eedb9b5238623
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 304, Row: 13, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e46736d4811782d3ddae58
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 302, Row: 12, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67be44e02f94efc810e59c25
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 329, Row: 10, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67a68fb63e2207e70b8c996e
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 307, Row: 14, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67a68fbe3e2207e70b8dba6d
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 330, Row: 10, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e1acb2d4811782d3bb1049
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 301, Row: 1, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e4672dd4811782d3dc03d1
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 301, Row: 11, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e4672ed4811782d3dc5686
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 302, Row: 1, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/670ea16bf0923f9bcda62d8a
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 331, Row: 2, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67896cc85f5eedb9b522d53a
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 307, Row: 2, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67bc81ec2f94efc810cbf6c0
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 305, Row: 1, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67bcebd72f94efc810db6cf7
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 332, Row: 12, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e32048d4811782d33475db
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 300, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e32056d4811782d33614b0
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 309, Row: 14, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67a68fb23e2207e70b8c36ba
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 304, Row: 40, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/6764fad0b98988f2db63a7c4
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 324, Row: 13, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e32029d4811782d330d2a3
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 326, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e3202ed4811782d3314f2c
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 327, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e32033d4811782d331d6a6
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 323, Row: 15, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e3203fd4811782d332f1fe
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 306, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e32044d4811782d333b5c6
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 307, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e32049d4811782d3347d0e
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 308, Row: 14, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e3204cd4811782d335034c
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 325, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-25-2025-phoenix-az-chase-field/events/66a170dd47d07f0c7229d213/listings/67e32050d4811782d33565a7
