Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 121, Row: 29, Price: $135.00, Est. Price: $135.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/67ed915bd4811782d343474c
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 304, Row: 40, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/6764fad2b98988f2db63cb74
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 310, Row: 32, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/6764fad3b98988f2db63ddec
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 319, Row: 32, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/6764fad1b98988f2db63c0e6
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 107, Row: 39, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/6764facfb98988f2db6384f0
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 134, Row: 39, Price: $88.00, Est. Price: $88.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/67eed2a80b271341d1213c37
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 329, Row: 40, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/6764faceb98988f2db6362a4
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 307, Row: 40, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/6764faceb98988f2db63632e
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 328, Row: 15, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/67e773eed4811782d3e2aac8
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 302, Row: 13, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/67b159ab2f94efc810f3aead
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 307, Row: 15, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/67a68fbd3e2207e70b8d9781
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 329, Row: 13, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/67b159b72f94efc810f4baa3
Date: 04-26-2025, Home Team: Dbacks, Away Team: Braves, Section: 300, Row: 32, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-26-2025-phoenix-az-chase-field/events/66a170e1e6f5d70d01cdf3e4/listings/6764fad0b98988f2db638df8
