Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 128, Row: 25, Price: $104.00, Est. Price: $104.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/670ea164f0923f9bcda5a122
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 329, Row: 2, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67eb595ed4811782d3720187
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 308, Row: 16, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67b4f38d2f94efc81004756d
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 108, Row: 30, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67ec4a0cd4811782d39fd68e
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 140, Row: 21, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67c3f5c0dec8018c768134db
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 110, Row: 7, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67d0bb9ddec8018c76efaa35
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 303, Row: 14, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67b4f3842f94efc810034136
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 328, Row: 13, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67eb5963d4811782d3727bda
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 301, Row: 2, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/670ea16ef0923f9bcda69606
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 302, Row: 2, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67896cd95f5eedb9b524c81a
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 302, Row: 10, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67a6910f3e2207e70baea6f6
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 309, Row: 15, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67ba778c2f94efc81050d578
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 301, Row: 11, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67eb5947d4811782d36fa109
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 303, Row: 1, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/670ea16af0923f9bcda61d2c
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 330, Row: 1, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67896cc85f5eedb9b522d4de
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 330, Row: 8, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67a691243e2207e70bb00bb0
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 314, Row: 22, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67be45de2f94efc810fb846f
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 307, Row: 14, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67be45ea2f94efc810fcf387
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 312, Row: 21, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67be45ea2f94efc810fcf3a3
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 303, Row: 9, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67e70566d4811782d32abf78
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 312, Row: 10, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67896cd85f5eedb9b524ace8
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 313, Row: 21, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67e70564d4811782d32a9983
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 324, Row: 13, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67a691103e2207e70baec09b
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 316, Row: 17, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67e98461d4811782d32a06dd
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 320, Row: 9, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67896ccd5f5eedb9b5237344
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 307, Row: 2, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67bc81ec2f94efc810cbf7a9
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 330, Row: 17, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67e32046d4811782d333fd21
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 331, Row: 3, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67e3204fd4811782d33541b3
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 300, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67e3204fd4811782d33542bf
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 329, Row: 15, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67e32053d4811782d335c1d8
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 332, Row: 13, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67e32054d4811782d335ea1a
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 304, Row: 13, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67e6ea25d4811782d3243d41
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 314, Row: 9, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67ed909ad4811782d32a7b86
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 317, Row: 15, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67e98454d4811782d3292b68
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 319, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/670ea15ff0923f9bcda5297d
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 315, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67a6910f3e2207e70baea65e
Date: 04-27-2025, Home Team: Dbacks, Away Team: Braves, Section: 317, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/braves-at-diamondbacks-tickets/4-27-2025-phoenix-az-chase-field/events/66a170e883aa788255244af4/listings/67a691293e2207e70bb070a0
