Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 121, Row: 27, Price: $80.00, Est. Price: $80.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67ed909cd4811782d32ab324
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 330, Row: 21, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67b4f6122f94efc81050af49
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 140, Row: 39, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67eeec200b271341d1f166dd
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 315, Row: 32, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764fad0b98988f2db63a7fb
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 102, Row: 39, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764facfb98988f2db6385a2
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 110, Row: 39, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764fad0b98988f2db638e25
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 329, Row: 40, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764fad3b98988f2db63ddb9
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 303, Row: 2, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67896e2e5f5eedb9b54a5a3a
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 330, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67896e345f5eedb9b54b1ce6
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 329, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67e46f1cd4811782d3d3160b
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 302, Row: 1, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/670ea14ff0923f9bcda356ca
