Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 128, Row: 25, Price: $76.00, Est. Price: $76.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0e7f0923f9bcd9af7c1
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 301, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67a64ff13e2207e70ba940dd
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 331, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e71063d4811782d37769f8
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 319, Row: 32, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764fad0b98988f2db638d96
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 140, Row: 39, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764fad0b98988f2db63a8dd
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 133, Row: 12, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e7106cd4811782d3781241
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 303, Row: 2, Price: $29.00, Est. Price: $29.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e7107ad4811782d37a3cb3
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 330, Row: 1, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67a64feb3e2207e70ba8a356
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 302, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e71068d4811782d377c01a
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 310, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764fad1b98988f2db63bfdd
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 313, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764fad3b98988f2db63dd0d
