Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 113, Row: 14, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e3202ed4811782d3314ee3
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 140, Row: 39, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/6764fad3b98988f2db63ddd7
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 301, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67896e265f5eedb9b549766a
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 330, Row: 2, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67896e385f5eedb9b54b7840
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 319, Row: 32, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/6764fad3b98988f2db63dd1c
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 110, Row: 39, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/6764facfb98988f2db638503
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 302, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67896e2a5f5eedb9b549dc97
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 140, Row: 16, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/676da96bb98988f2dbdffb80
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 142, Row: 13, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/6786811f5f5eedb9b568e1fa
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 329, Row: 2, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e710aed4811782d3827108
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 311, Row: 11, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/670ea104f0923f9bcd9c9724
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 332, Row: 32, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/6764fad1b98988f2db63c07d
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 300, Row: 32, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/6764fad3b98988f2db63dd64
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 331, Row: 1, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67896e285f5eedb9b549a95b
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 304, Row: 40, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/6764fad2b98988f2db63cc88
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 329, Row: 40, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/6764fad3b98988f2db63dd77
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 315, Row: 32, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/6764fad3b98988f2db63ddf7
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 312, Row: 10, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67896e395f5eedb9b54b9ae5
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 307, Row: 40, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/6764fad3b98988f2db63dd15
Date: 05-07-2025, Home Team: Dbacks, Away Team: Mets, Section: 318, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-7-2025-phoenix-az-chase-field/events/66a1710bf43fc3fc6ee1a5d8/listings/67e710b3d4811782d3833399
