Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 131, Row: 16, Price: $115.00, Est. Price: $115.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67f039380b271341d19d9f07
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 32, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad0b98988f2db638d7f
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 32, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad0b98988f2db63a8b9
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 12, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368cd4811782d39faf42
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 143, Row: 18, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67f03e7f0b271341d13590a4
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 134, Row: 39, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad1b98988f2db63c00c
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 300, Row: 32, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad0b98988f2db638d48
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 40, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad0b98988f2db638e0a
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 304, Row: 40, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad2b98988f2db63cc28
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 40, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad0b98988f2db638d24
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 40, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad0b98988f2db63a803
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 328, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368bd4811782d39fa63e
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368bd4811782d39fa6ad
