Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 200, Row: 3, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e71c54d4811782d3e58418
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 32, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad3b98988f2db63dd51
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 32, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad0b98988f2db63a87f
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 32, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad2b98988f2db63cca3
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 39, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e7518ad4811782d33ad80d
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 211, Row: 10, Price: $133.00, Est. Price: $133.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f029000b271341d1bf8d13
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 300, Row: 32, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad2b98988f2db63ccc4
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 40, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad2b98988f2db63cc39
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 304, Row: 40, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e9f141d4811782d3a83682
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 40, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad0b98988f2db63a885
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 40, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad1b98988f2db63bfec
