Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 220, Row: 10, Price: $115.00, Est. Price: $115.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67eff8f40b271341d1e0720e
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 300, Row: 32, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/6789e1a75f5eedb9b56415e9
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 32, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/6764fad0b98988f2db63a7ad
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 32, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67eebf040b271341d144af64
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 143, Row: 31, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67e85934d4811782d3cb8d58
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 219, Row: 1, Price: $139.00, Est. Price: $139.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67b8bffc2f94efc81010f86c
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 36, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ed9343d4811782d3859c9a
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 304, Row: 40, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67b3fae32f94efc8102e520f
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 40, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67b578122f94efc810dcdc52
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 40, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67efbbcd0b271341d1dcd56d
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 40, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67e750f8d4811782d32a4112
