Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 219, Row: 6, Price: $104.00, Est. Price: $104.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67ef2fc00b271341d1574428
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 13, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67e71fced4811782d34964db
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 32, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/6764faceb98988f2db636326
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 39, Price: $76.00, Est. Price: $76.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/6764fad3b98988f2db63dd9d
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 110, Row: 39, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67f01e1f0b271341d168ab8c
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 220, Row: 5, Price: $104.00, Est. Price: $104.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67e9d338d4811782d37d77a3
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 300, Row: 32, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/6764fad0b98988f2db63a77f
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 304, Row: 40, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/6764facfb98988f2db638619
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 40, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/6764fad0b98988f2db638de2
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 32, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/6764fad1b98988f2db63c041
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67e71fbfd4811782d347911b
