Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 116, Row: 23, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/670d5b32f0923f9bcd454c51
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 301, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fc85f5eedb9b578f707
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 140, Row: 16, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/676daa1bb98988f2dbf4b167
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 102, Row: 19, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/670ea14ef0923f9bcda34063
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 111, Row: 10, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/677b24cfb98988f2db018142
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 132, Row: 5, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/677b2765b98988f2db3941d2
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 301, Row: 20, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67d8a96edec8018c76fcca69
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 302, Row: 2, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fcb5f5eedb9b5794e2b
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 329, Row: 17, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a651933e2207e70bce4792
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fb95f5eedb9b5778373
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 328, Row: 15, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a651953e2207e70bce670d
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 330, Row: 2, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fbb5f5eedb9b577b109
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 308, Row: 14, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a651963e2207e70bce777b
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 141, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/677b2388b98988f2dbe2baef
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 324, Row: 14, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a6518d3e2207e70bcdb2a6
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 305, Row: 14, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a6518f3e2207e70bcde600
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 311, Row: 11, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/670ea145f0923f9bcda27490
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 312, Row: 10, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fca5f5eedb9b5791b4b
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 316, Row: 13, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a651973e2207e70bce8699
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 315, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fbf5f5eedb9b57824ae
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 101, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e15d3dd4811782d3eb6c28
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32023d4811782d3303d60
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 304, Row: 11, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3202cd4811782d33122c1
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 329, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32035d4811782d331ee9e
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 331, Row: 3, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3204dd4811782d3351800
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 330, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3204fd4811782d3353ea8
