Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 116, Row: 21, Price: $123.00, Est. Price: $123.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67b4fb322f94efc810dacf63
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 332, Row: 12, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32040d4811782d33329ab
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 104, Row: 39, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/6764facfb98988f2db63851e
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 140, Row: 39, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/6764fad3b98988f2db63dd0b
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 110, Row: 11, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67d37516dec8018c76f0933b
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 220, Row: 5, Price: $96.00, Est. Price: $96.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67ecb63dd4811782d33c719d
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 331, Row: 2, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67896fc85f5eedb9b578f713
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 301, Row: 2, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67896fbc5f5eedb9b577e361
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 304, Row: 20, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67a651913e2207e70bce1d91
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 330, Row: 19, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67c91186dec8018c76b5c681
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 328, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32027d4811782d330ad57
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 304, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32029d4811782d330c7f6
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 302, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32038d4811782d33238a5
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 329, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e3204bd4811782d334be16
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e3204bd4811782d334ca9f
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 302, Row: 2, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/670ea1b0f0923f9bcdac3d8d
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 19, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67a6518c3e2207e70bcd8f62
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 300, Row: 11, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e3203bd4811782d33272d7
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 330, Row: 11, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e9a417d4811782d38dc978
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 307, Row: 2, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67bc81ec2f94efc810cbf8e9
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 325, Row: 12, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32057d4811782d3362959
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 308, Row: 14, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32025d4811782d3306f2c
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 326, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32025d4811782d330751c
