Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 116, Row: 23, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/672a4e48585e58e5aa4156f3
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 140, Row: 16, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/676daa91b98988f2db048a7b
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 307, Row: 15, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67a652473e2207e70bded7a2
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 301, Row: 2, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/670ea148f0923f9bcda2ba9f
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 102, Row: 19, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/670ea148f0923f9bcda2baa9
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 212, Row: 3, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67e15d3ad4811782d3eb355b
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 329, Row: 20, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67a652403e2207e70bde0b0f
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 2, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67896e2a5f5eedb9b549dc89
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 302, Row: 17, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67a652453e2207e70bde9cfb
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 329, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67effd310b271341d14f8ed8
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 330, Row: 14, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67a652403e2207e70bde0b09
