Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 113, Row: 14, Price: $108.00, Est. Price: $108.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e32027d4811782d330a7d6
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 101, Row: 22, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e15d32d4811782d3eaae66
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 140, Row: 39, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/6764fbc0b98988f2db84f0f3
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 302, Row: 16, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67a679d63e2207e70b6734d8
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 323, Row: 19, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67a679e13e2207e70b68217a
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 133, Row: 9, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67b4de8e2f94efc810c6fed0
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 140, Row: 16, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/676daa90b98988f2db048101
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 102, Row: 39, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/6764fbc3b98988f2db8551f2
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 301, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67896e575f5eedb9b54ec623
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 303, Row: 2, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67896e455f5eedb9b54ccba1
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 329, Row: 14, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67a679d63e2207e70b6734a1
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 105, Row: 18, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e15d35d4811782d3eae33e
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 307, Row: 40, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/6764fbc0b98988f2db84f1ff
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 303, Row: 13, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-26-2025-phoenix-az-chase-field/events/66a17153573fc39854bf8ece/listings/67e3202cd4811782d3312434
