Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 128, Row: 25, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea109f0923f9bcd9ce506
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 331, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e265f5eedb9b54976d8
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 301, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e255f5eedb9b5495b52
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 140, Row: 16, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/676dab08b98988f2db0f71ce
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 319, Row: 9, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea10bf0923f9bcd9cf3c1
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 133, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6704d9ba1a2fe2590492897e
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 303, Row: 2, Price: $29.00, Est. Price: $29.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e345f5eedb9b54b1cbd
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 302, Row: 1, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea10ff0923f9bcd9d4031
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 330, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e315f5eedb9b54aae75
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 141, Row: 13, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6704d7e81a2fe259046b9a3c
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 311, Row: 11, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea10ef0923f9bcd9d326e
