Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 142, Row: 13, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/678683f15f5eedb9b59e2f6c
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 303, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e2f5f5eedb9b54a72da
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 301, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e335f5eedb9b54aea35
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 110, Row: 11, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67d37514dec8018c76f03472
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 319, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea103f0923f9bcd9c7f69
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 215, Row: 4, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e15d39d4811782d3eb1ae3
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 330, Row: 2, Price: $28.00, Est. Price: $28.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/673d0e00585e58e5aa2de12b
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 302, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea109f0923f9bcd9ce5cb
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 331, Row: 1, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e255f5eedb9b5495b46
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 140, Row: 16, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/676dab48b98988f2db16dcc1
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 141, Row: 12, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6704d7b91a2fe2590469331a
