Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 116, Row: 23, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/672a4ebe585e58e5aa4ec618
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 330, Row: 2, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67896e345f5eedb9b54afcb4
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 301, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67896e285f5eedb9b549aa5b
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 16, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/676dabc3b98988f2db258e54
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 101, Row: 22, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e15d37d4811782d3eb04ab
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 133, Row: 9, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/677b2531b98988f2db07fac9
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 330, Row: 16, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a413e2207e70b6e8272
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 331, Row: 15, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67dc2c13d4811782d3aa274c
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 302, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67896e345f5eedb9b54afc6a
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 307, Row: 17, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a493e2207e70b6fa948
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 301, Row: 10, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a4e3e2207e70b7081b2
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 141, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/677b2388b98988f2dbe2bab9
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 324, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a563e2207e70b718692
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 311, Row: 11, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/670ea13ff0923f9bcda1f849
