Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 116, Row: 23, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67b4f5092f94efc81032b066
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 104, Row: 39, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/6764fbc0b98988f2db84f0a6
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 39, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/6764fbc5b98988f2db85803c
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 301, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67896fc35f5eedb9b5788dd5
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 110, Row: 11, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67d37516dec8018c76f071fe
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 215, Row: 4, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e15d37d4811782d3eb05a9
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 16, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/676dabc3b98988f2db258e61
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 330, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67896fbc5f5eedb9b577c2b1
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 302, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67896fc85f5eedb9b578f779
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 329, Row: 19, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67a67ad03e2207e70b7d40b6
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 330, Row: 20, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67a67ad13e2207e70b7d55db
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 307, Row: 2, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67bc81ec2f94efc810cbf94d
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 323, Row: 19, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67a67ac23e2207e70b7becc9
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 302, Row: 16, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67a67ac73e2207e70b7c6880
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 305, Row: 19, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67a67ad63e2207e70b7da1a5
