Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 116, Row: 21, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/677b2821b98988f2db45cafb
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 300, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/6764fbc0b98988f2db84f153
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 301, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67896e345f5eedb9b54b1d17
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 101, Row: 22, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e15d35d4811782d3eae941
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 16, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/676dabc3b98988f2db258f27
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 111, Row: 10, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/677b24cfb98988f2db018153
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 329, Row: 2, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ac23e2207e70b7becc2
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/6764fbc1b98988f2db85093d
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 326, Row: 17, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67acd3e2207e70b7cee4e
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 329, Row: 16, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ad73e2207e70b7dadb5
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 304, Row: 15, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ace3e2207e70b7d0299
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 330, Row: 12, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ad53e2207e70b7d979c
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 303, Row: 1, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/670ea14cf0923f9bcda2efcb
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/6764fbc2b98988f2db851ec8
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 329, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/6764fbc5b98988f2db858121
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 331, Row: 1, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67896e265f5eedb9b549769b
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 330, Row: 1, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67896e3c5f5eedb9b54bfc47
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 325, Row: 16, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ac83e2207e70b7c7a91
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 141, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/677b2388b98988f2dbe2ba87
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 324, Row: 12, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ac23e2207e70b7becd0
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 105, Row: 18, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e15d39d4811782d3eb1bea
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 311, Row: 11, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/670ea14ff0923f9bcda3574f
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 307, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/6764fbc4b98988f2db857004
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/6764fbc5b98988f2db858038
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 102, Row: 19, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/670ea14df0923f9bcda332be
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 319, Row: 9, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67acd3e2207e70b7cee0a
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 307, Row: 2, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67bc81ec2f94efc810cbf793
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 104, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/677b23e5b98988f2dbecd315
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 103, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/677b23e5b98988f2dbecd3bb
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 142, Row: 24, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ac93e2207e70b7c9049
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 136, Row: 36, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67a67ac93e2207e70b7c905d
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 302, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32023d4811782d3303b9a
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 300, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32024d4811782d3304429
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 328, Row: 11, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e32027d4811782d3309caf
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/67e3204ed4811782d3352c62
Date: 06-01-2025, Home Team: Dbacks, Away Team: Nationals, Section: 144, Row: 11, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/6-1-2025-phoenix-az-chase-field/events/66a1716465348e131fd124cf/listings/677b23e5b98988f2dbecd34c
