Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 113, Row: 14, Price: $90.00, Est. Price: $90.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32033d4811782d331c966
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 301, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67896e335f5eedb9b54aea67
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 140, Row: 16, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/676dac37b98988f2db2e8a25
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 325, Row: 14, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b363e2207e70b86e77a
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 320, Row: 16, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b3b3e2207e70b8733e7
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 110, Row: 11, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67d37516dec8018c76f07137
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 328, Row: 17, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e6df19d4811782d3cecdcc
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 303, Row: 14, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b473e2207e70b883126
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 330, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b463e2207e70b881b10
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 302, Row: 12, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b493e2207e70b88646b
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 330, Row: 1, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67896e375f5eedb9b54b5ea0
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 303, Row: 1, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/670ea14af0923f9bcda2d592
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 141, Row: 13, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/677b2388b98988f2dbe2bb0d
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 326, Row: 14, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b4a3e2207e70b887c64
