Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 212, Row: 3, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e15d37d4811782d3eb041c
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 330, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e2b5f5eedb9b549ee08
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 101, Row: 22, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e15d32d4811782d3eaa820
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 140, Row: 16, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/676dac72b98988f2db348916
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 312, Row: 10, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e3a5f5eedb9b54bbc10
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 215, Row: 4, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e15d35d4811782d3eae78b
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 303, Row: 2, Price: $28.00, Est. Price: $28.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e355f5eedb9b54b356a
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 302, Row: 1, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea10ff0923f9bcd9d3fe6
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 301, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e355f5eedb9b54b3583
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 331, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e2a5f5eedb9b549dc6d
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/6764fbc2b98988f2db854253
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/6764fbc5b98988f2db858141
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 105, Row: 18, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e15d3dd4811782d3eb6eb2
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 141, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/6704d7e81a2fe259046b9a9f
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 320, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e325f5eedb9b54ac83f
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 319, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea107f0923f9bcd9cc388
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 321, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea107f0923f9bcd9ccdc5
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 108, Row: 30, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea10af0923f9bcd9ceb74
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 102, Row: 19, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea10af0923f9bcd9cea9b
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/6764fbc4b98988f2db857022
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/6764fbc2b98988f2db8541d7
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 103, Row: 17, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e255f5eedb9b5495c07
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 315, Row: 9, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e3d5f5eedb9b54c0fbd
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 310, Row: 3, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea103f0923f9bcd9c7f51
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 313, Row: 8, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e305f5eedb9b54a97c9
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 324, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e275f5eedb9b5498618
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 137, Row: 29, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea101f0923f9bcd9c6aa3
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 306, Row: 2, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea10ff0923f9bcd9d403e
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32027d4811782d330ad88
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 9, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32044d4811782d333b34e
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 302, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32040d4811782d3332fd6
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32027d4811782d330a4db
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 328, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e3203bd4811782d33276da
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 303, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32029d4811782d330c2a3
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 11, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67e32025d4811782d3306cd0
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 139, Row: 17, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea10cf0923f9bcd9d1988
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 107, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/67896e295f5eedb9b549bb01
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 321, Row: 2, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-10-2025-phoenix-az-chase-field/events/66a1717d82a078a95ab95af3/listings/670ea101f0923f9bcd9c6a7a
