Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 128, Row: 25, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea107f0923f9bcd9ccddc
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 331, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e335f5eedb9b54aea97
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 140, Row: 13, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e15d3dd4811782d3eb6f17
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 312, Row: 10, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e305f5eedb9b54a9872
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 319, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea108f0923f9bcd9cd81d
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 110, Row: 11, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67d37513dec8018c76eff1b7
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 303, Row: 2, Price: $30.00, Est. Price: $30.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e345f5eedb9b54afc90
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 330, Row: 2, Price: $31.00, Est. Price: $31.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e285f5eedb9b549aa1a
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 301, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e2f5f5eedb9b54a7204
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 302, Row: 2, Price: $32.00, Est. Price: $32.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e335f5eedb9b54ae9d6
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 142, Row: 13, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/678683f15f5eedb9b59e2e6a
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 311, Row: 11, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea101f0923f9bcd9c6ab8
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 141, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/6704d7e81a2fe259046b9a4e
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 316, Row: 9, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e285f5eedb9b549a8f7
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 307, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67bc81ec2f94efc810cbf79b
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 320, Row: 9, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e315f5eedb9b54aadc0
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 315, Row: 9, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e305f5eedb9b54a9892
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 108, Row: 30, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea10ff0923f9bcd9d3ab1
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 102, Row: 19, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea100f0923f9bcd9c5997
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 103, Row: 17, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e245f5eedb9b5493d26
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 313, Row: 8, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e265f5eedb9b54976e2
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 324, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e2c5f5eedb9b54a0ec1
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 325, Row: 1, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea10bf0923f9bcd9cf91c
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 310, Row: 3, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea100f0923f9bcd9c59fc
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 101, Row: 22, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e15d3dd4811782d3eb698e
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 306, Row: 2, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea103f0923f9bcd9c7fcc
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e3202cd4811782d33116f8
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 9, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32056d4811782d3360ac1
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 302, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e3203ad4811782d3324d66
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32035d4811782d331f434
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 328, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32038d4811782d3323233
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 303, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32036d4811782d3320765
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 11, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e3204bd4811782d334c5fc
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 139, Row: 17, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea107f0923f9bcd9ccdca
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 107, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e315f5eedb9b54aae26
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 104, Row: 14, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/6704d75c1a2fe259046167de
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 311, Row: 2, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e335f5eedb9b54aeb7e
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 308, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea104f0923f9bcd9c8b95
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 30, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e45e62d4811782d3b2ffb4
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 305, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea10bf0923f9bcd9cf408
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 301, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e45b97d4811782d35dac18
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 330, Row: 10, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32042d4811782d3337a3c
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 331, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e45e5fd4811782d3b287bc
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e45b88d4811782d35c6cae
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 38, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e45e54d4811782d3b02c72
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 328, Row: 40, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e45e7dd4811782d3b6c360
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 144, Row: 11, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/6704d7e81a2fe259046b9a55
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 137, Row: 29, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea101f0923f9bcd9c6a6e
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 321, Row: 2, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea105f0923f9bcd9caa63
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 314, Row: 1, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e2b5f5eedb9b549ed07
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 308, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32036d4811782d3320b20
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 325, Row: 20, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32031d4811782d331adb8
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 323, Row: 20, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32031d4811782d3319b65
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 323, Row: 33, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e45e4cd4811782d3af175c
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 305, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32044d4811782d333aac1
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 306, Row: 12, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32054d4811782d335e6a5
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 327, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32027d4811782d330abb2
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 327, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e45e84d4811782d3b7691c
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 309, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e3202cd4811782d3311baa
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 326, Row: 20, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32040d4811782d3332f83
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 103, Row: 14, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e385f5eedb9b54b78ad
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 324, Row: 19, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32031d4811782d331ab66
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 143, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e6c5f5eedb9b550e4f2
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 315, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea104f0923f9bcd9c9665
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 136, Row: 26, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea105f0923f9bcd9caa1e
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 108, Row: 21, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67896e375f5eedb9b54b5e76
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 105, Row: 18, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e15d3dd4811782d3eb6ff4
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 111, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/6704d8a21a2fe25904777756
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 318, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32040d4811782d33335a0
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 314, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e3203ad4811782d3324c1a
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 317, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32052d4811782d335a26c
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 321, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e3204ad4811782d334aeae
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 310, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32038d4811782d3322952
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 316, Row: 14, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e3203bd4811782d3328226
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 322, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32059d4811782d3364baa
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 133, Row: 9, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/6704d9ba1a2fe2590492898b
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 319, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e45ba7d4811782d35ee2e2
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 320, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e45b8fd4811782d35ce9bb
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 318, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e45b9dd4811782d35e25be
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 133, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/670ea10bf0923f9bcd9cf904
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 138, Row: 30, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32041d4811782d3333997
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 142, Row: 19, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32035d4811782d331f1e4
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 106, Row: 28, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32055d4811782d335f751
Date: 06-11-2025, Home Team: Dbacks, Away Team: Mariners, Section: 104, Row: 20, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-11-2025-phoenix-az-chase-field/events/66a1718047d07f0c7229d224/listings/67e32033d4811782d331d676
