Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 212, Row: 3, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e15d3cd4811782d3eb4ac9
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 141, Row: 13, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67b4e8272f94efc810d28260
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 325, Row: 23, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67a67baa3e2207e70b8e28a8
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 331, Row: 2, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67896e475f5eedb9b54cf8ce
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 101, Row: 22, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e15d37d4811782d3eb00cd
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 205, Row: 2, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e15d3cd4811782d3eb482c
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 140, Row: 16, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/676dace7b98988f2db44b7fe
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 302, Row: 2, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67896e485f5eedb9b54d1690
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 23, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67a67b9a3e2207e70b8c619f
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 326, Row: 22, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67a67ba53e2207e70b8db37a
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 12, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32049d4811782d33481e2
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32050d4811782d335645e
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 330, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32025d4811782d3306564
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 307, Row: 2, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67bc81ec2f94efc810cbf905
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 302, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e3203fd4811782d332e937
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 12, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e3202cd4811782d3311ce1
