Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 126, Row: 21, Price: $123.00, Est. Price: $123.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67b4fb312f94efc810dacf35
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 12, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32057d4811782d336283e
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 141, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67b4f4cb2f94efc8102d6be6
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 319, Row: 13, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e3202ed4811782d33153fa
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 110, Row: 11, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67d37513dec8018c76eff1fe
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 205, Row: 2, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e15d32d4811782d3eaac7d
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 140, Row: 16, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/676dace7b98988f2db44b812
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e3204dd4811782d335168a
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 302, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32025d4811782d3306778
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32029d4811782d330cd3f
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 328, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32044d4811782d333b642
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 20, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e3204cd4811782d334e97f
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 304, Row: 23, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67b0d0972f94efc8100cf428
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 301, Row: 6, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32049d4811782d3348653
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 331, Row: 6, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32024d4811782d33049e0
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 330, Row: 10, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32059d4811782d3364f85
