Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 129, Row: 27, Price: $143.00, Est. Price: $143.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32054d4811782d335e19f
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 301, Row: 3, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32046d4811782d333f27e
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 319, Row: 13, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67ee1198d4811782d3d82c91
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 315, Row: 15, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32031d4811782d3319be4
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 143, Row: 21, Price: $83.00, Est. Price: $83.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32046d4811782d333f132
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 219, Row: 8, Price: $106.00, Est. Price: $106.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32056d4811782d3360e88
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 142, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/678683f15f5eedb9b59e2ec3
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32033d4811782d331d826
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 11, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32050d4811782d33567f4
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 330, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32059d4811782d3365e8a
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 302, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32024d4811782d3304622
