Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 116, Row: 21, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/677b2821b98988f2db45cbe6
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/6764fc7ab98988f2db980cdf
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 140, Row: 16, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/676dad9bb98988f2db52a012
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 311, Row: 11, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/670ea14ff0923f9bcda3573d
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 110, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67d37516dec8018c76f071a9
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 132, Row: 5, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/677b2765b98988f2db394289
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/6764fc78b98988f2db97f527
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 302, Row: 2, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/670ea146f0923f9bcda28879
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 329, Row: 16, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67a67f563e2207e70b03ca06
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 301, Row: 2, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67896e265f5eedb9b54976ca
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 304, Row: 14, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67a67f473e2207e70b00d6fd
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 331, Row: 2, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67896e295f5eedb9b549bb62
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 330, Row: 11, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67a67f553e2207e70b039711
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/6764fc78b98988f2db97f454
