Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 208, Row: 3, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e15d3cd4811782d3eb4461
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/6764fc79b98988f2db9806bb
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 140, Row: 16, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/676dad9ab98988f2db528e47
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 102, Row: 39, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/6764fc78b98988f2db97e46e
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 308, Row: 17, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67a67f4d3e2207e70b0218bb
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 220, Row: 6, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6dcd4811782d3770e45
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/6764fc76b98988f2db97ba1f
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 304, Row: 40, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/6764fc79b98988f2db9806c4
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 329, Row: 40, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/6764fc78b98988f2db97f4c8
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/6764fc78b98988f2db97f518
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 307, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/6764fc75b98988f2db97a7ef
