Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 116, Row: 21, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/677b2821b98988f2db45cbda
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 32, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/6764fc78b98988f2db97e46a
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 140, Row: 16, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/676daddab98988f2db5c6002
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 15, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67fdf3e2207e70b122230
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 110, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67d37516dec8018c76f0721b
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 132, Row: 5, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/677b2765b98988f2db3941f3
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 32, Price: $33.00, Est. Price: $33.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/6764fc76b98988f2db97babf
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 328, Row: 17, Price: $34.00, Est. Price: $34.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67fe93e2207e70b1364fe
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 302, Row: 2, Price: $35.00, Est. Price: $35.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67896e2f5f5eedb9b54a71a2
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 301, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67896e315f5eedb9b54aad84
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 329, Row: 15, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e33f54d4811782d386f316
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 330, Row: 2, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67896e2c5f5eedb9b54a0e43
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 330, Row: 11, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67fe03e2207e70b124e3b
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 303, Row: 14, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67fe83e2207e70b135ab5
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 303, Row: 1, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/670ea150f0923f9bcda36c7f
